project_norm,path,object,status,count_siesta,count_javamop,diff_abs,reason,occurrence_idx
comgreplinzookeeper,org/apache/logging/log4j/util/propertiesutil.java:464,sortedsetcomparable,falsealarm,1,0,1,both_projects_different_multiset,1
comgreplinzookeeper,org/apache/zookeeper/server/persistence/util.java:256,bytearrayoutputstreamflushbeforeretrieve,truebug,1,0,1,both_projects_different_multiset,1
comgreplinzookeeper,org/apache/zookeeper/server/nioservercnxn.java,bytearrayoutputstreamflushbeforeretrieve,falsealarm,1,0,1,both_projects_different_multiset,1
comgreplinzookeeper,com/greplin/zookeeper/regressiontest1.java,closeablemultipleclose,truebug,1,0,1,both_projects_different_multiset,1
comgreplinzookeeper,org/slf4j/loggerfactory.java:310,enumerationobsolete,truebug,1,0,1,both_projects_different_multiset,1
comgreplinzookeeper,com/greplin/zookeeper/regressiontest1.java:34,bytearrayoutputstreamflushbeforeretrieve,truebug,1,0,1,both_projects_different_multiset,1
comgreplinzookeeper,org/apache/logging/log4j/core/async/threadnamecachingstrategy.java:61,enumuserfriendlyname,truebug,1,0,1,both_projects_different_multiset,1
comgreplinzookeeper,org/apache/logging/log4j/core/util/datetime/fixeddateformat.java:227,enumuserfriendlyname,truebug,1,0,1,both_projects_different_multiset,1
comgreplinzookeeper,org/apache/zookeeper/server/zookeeperserver.java,closeablemeaninglessclose,falsealarm,0,1,1,both_projects_different_multiset,1
comgreplinzookeeper,org/apache/zookeeper/server/zkdatabase.java,closeablemeaninglessclose,falsealarm,0,1,1,both_projects_different_multiset,1
comgreplinzookeeper,org/apache/zookeeper/clientcnxn.java:318,bytearrayoutputstreamflushbeforeretrieve,falsealarm,0,1,1,both_projects_different_multiset,1
comgreplinzookeeper,org/apache/zookeeper/server/zookeeperserver.java:1175,bytearrayoutputstreamflushbeforeretrieve,falsealarm,1,0,1,both_projects_different_multiset,1
comgreplinzookeeper,org/apache/logging/log4j/util/loaderutil.java:274,enumerationobsolete,truebug,1,0,1,both_projects_different_multiset,1
comgreplinzookeeper,org/apache/zookeeper/clientcnxn.java:317,closeablemeaninglessclose,falsealarm,0,1,1,both_projects_different_multiset,1
comgreplinzookeeper,org/apache/zookeeper/server/nioservercnxn.java,closeablemeaninglessclose,falsealarm,0,1,1,both_projects_different_multiset,1
connector4java,org/jvnet/hk2/internal/indexedlistdata.java:68,treesetcomparable,falsealarm,0,1,1,both_projects_different_multiset,1
connector4java,com/epam/reportportal/apache/http/util/entityutils.java:141,closeablemeaninglessclose,truebug,1,0,1,both_projects_different_multiset,1
connector4java,org/glassfish/jersey/client/clientrequest.java:539,closeablemultipleclose,falsealarm,1,0,1,both_projects_different_multiset,1
connector4java,org/glassfish/jersey/apache/connector/apacheconnector.java:625,bytearrayoutputstreamflushbeforeretrieve,truebug,1,0,1,both_projects_different_multiset,1
connector4java,org/objectweb/asm/classreader.java:340,bytearrayoutputstreamflushbeforeretrieve,truebug,1,0,1,both_projects_different_multiset,1
connector4java,org/glassfish/jersey/internal/util/collection/keycomparatorhashmap.java:901,collectionstandardconstructors,truebug,1,0,1,both_projects_different_multiset,1
connector4java,org/glassfish/jersey/message/internal/committingoutputstream.java:277,closeablemeaninglessclose,falsealarm,1,0,1,both_projects_different_multiset,1
connector4java,nl/jqno/equalsverifier/javaapiprefabvalues.java:326,treesetcomparable,falsealarm,1,0,1,both_projects_different_multiset,1
connector4java,org/glassfish/jersey/uri/uricomponent.java:286,charactervalidatechar,falsealarm,1,0,1,both_projects_different_multiset,1
connector4java,org/joda/time/tz/zoneinfoprovider.java:251,closeablemultipleclose,falsealarm,1,0,1,both_projects_different_multiset,1
connector4java,com/epam/reportportal/apache/http/util/entityutils.java:141,closeablemultipleclose,falsealarm,1,0,1,both_projects_different_multiset,1
connector4java,org/jvnet/hk2/internal/indexedlistdata.java:68,sortedsetcomparable,falsealarm,0,1,1,both_projects_different_multiset,1
connector4java,org/glassfish/jersey/internal/util/collection/multivaluedstringmap.java,serializablenoargconstructor,falsealarm,1,0,1,both_projects_different_multiset,1
connector4java,nl/jqno/equalsverifier/javaapiprefabvalues.java:326,sortedsetcomparable,falsealarm,1,0,1,both_projects_different_multiset,1
cueluceneintervalfields,com/google/common/collect/singletonimmutableset.java,collectionstandardconstructors,falsealarm,1,0,1,both_projects_different_multiset,1
cueluceneintervalfields,com/google/common/collect/regularimmutablelist.java,collectionstandardconstructors,falsealarm,1,0,1,both_projects_different_multiset,1
cueluceneintervalfields,com/google/common/collect/immutableset.java,collectionstandardconstructors,falsealarm,1,0,1,both_projects_different_multiset,1
cueluceneintervalfields,com/google/common/collect/immutablecollection.java,collectionstandardconstructors,truebug,1,0,1,both_projects_different_multiset,1
jbossasjbossdmr,org/jboss/dmr/base64.java:431,closeablemeaninglessclose,falsealarm,1,0,1,both_projects_different_multiset,1
jbossasjbossdmr,org/jboss/dmr/base64.java:307,closeablemultipleclose,falsealarm,1,0,1,both_projects_different_multiset,1
jbossasjbossdmr,org/jboss/dmr/base64.java:418,closeablemultipleclose,truebug,1,0,1,both_projects_different_multiset,1
jbossasjbossdmr,org/jboss/dmr/base64.java:423,closeablemultipleclose,truebug,1,0,1,both_projects_different_multiset,1
jbossasjbossdmr,org/jboss/dmr/stream/modelreaderimpl.java:367,longbadparsingargs,falsealarm,0,1,1,both_projects_different_multiset,1
jbossasjbossdmr,org/jboss/dmr/base64.java:682,closeablemeaninglessclose,falsealarm,1,0,1,both_projects_different_multiset,1
jbossasjbossdmr,org/jboss/dmr/base64.java:682,closeablemultipleclose,falsealarm,1,0,1,both_projects_different_multiset,1
jbossasjbossdmr,org/jboss/dmr/base64.java:311,closeablemultipleclose,falsealarm,1,0,1,both_projects_different_multiset,1
jbossasjbossdmr,org/jboss/dmr/base64.java:627,bytearrayoutputstreamflushbeforeretrieve,truebug,1,0,1,both_projects_different_multiset,1
jbossasjbossdmr,org/jboss/dmr/base64.java:632,closeablemultipleclose,falsealarm,1,0,1,both_projects_different_multiset,1
jbossasjbossdmr,org/jboss/dmr/test/modelnodereadwritetest.java:333,bytearrayoutputstreamflushbeforeretrieve,falsealarm,1,0,1,both_projects_different_multiset,1
jbossasjbossdmr,org/jboss/dmr/base64.java:427,closeablemultipleclose,falsealarm,1,0,1,both_projects_different_multiset,1
jbossasjbossdmr,org/jboss/dmr/stream/modelreaderimpl.java:367,longbadparsingradix,falsealarm,1,0,1,both_projects_different_multiset,1
jbossasjbossdmr,org/jboss/dmr/test/modelnodereadwritetest.java:344,bytearrayoutputstreamflushbeforeretrieve,falsealarm,1,0,1,both_projects_different_multiset,1
jbossasjbossdmr,org/jboss/dmr/base64.java:299,closeablemultipleclose,falsealarm,1,0,1,both_projects_different_multiset,1
jbossasjbossdmr,org/jboss/dmr/modelnode.java:1820,closeablemeaninglessclose,falsealarm,1,0,1,both_projects_different_multiset,1
jbossasjbossdmr,org/jboss/dmr/base64.java:431,closeablemultipleclose,falsealarm,1,0,1,both_projects_different_multiset,1
jbossasjbossdmr,org/jboss/dmr/valueexpressionresolver.java:218,charactervalidatechar,falsealarm,1,0,1,both_projects_different_multiset,1
jbossasjbossdmr,org/jboss/dmr/base64.java:632,closeablemeaninglessclose,falsealarm,1,0,1,both_projects_different_multiset,1
jbossasjbossdmr,org/jboss/dmr/base64.java:311,closeablemeaninglessclose,falsealarm,1,0,1,both_projects_different_multiset,1
jbossasjbossdmr,org/jboss/dmr/base64.java:303,closeablemultipleclose,falsealarm,1,0,1,both_projects_different_multiset,1
jbossasjbossdmr,org/jboss/dmr/stream/modelreaderimpl.java:839,bytearrayoutputstreamflushbeforeretrieve,truebug,1,0,1,both_projects_different_multiset,1
jnrposix,jnr/ffi/util/annotations.java:33,treesetcomparable,falsealarm,0,1,1,both_projects_different_multiset,1
jnrposix,jnr/ffi/util/annotations.java:33,sortedsetcomparable,falsealarm,0,1,1,both_projects_different_multiset,1
jnrposix,jnr/ffi/util/annotations.java:62,collectionunsynchronizedaddall,falsealarm,0,1,1,both_projects_different_multiset,1
jnrposix,jnr/constants/constantset.java:41,collectionstandardconstructors,truebug,1,0,1,both_projects_different_multiset,1
jodatime,org/joda/time/testyearmonth_basics.java:243,comparablecomparetonull,truebug,1,0,1,both_projects_different_multiset,1
jodatime,org/joda/time/format/periodformatterbuilder.java:1940,sortedsetcomparable,falsealarm,1,0,1,both_projects_different_multiset,1
jodatime,org/joda/time/testmonthday_basics.java:772,bytearrayoutputstreamflushbeforeretrieve,truebug,1,0,1,both_projects_different_multiset,1
jodatime,org/joda/time/testdays.java:244,bytearrayoutputstreamflushbeforeretrieve,falsealarm,0,1,1,both_projects_different_multiset,1
jodatime,org/joda/time/testmonths.java:230,bytearrayoutputstreamflushbeforeretrieve,falsealarm,0,1,1,both_projects_different_multiset,1
jodatime,org/joda/time/format/periodformatterbuilder.java:1937,treesetcomparable,falsealarm,1,0,1,both_projects_different_multiset,1
jodatime,org/joda/time/testlocaldatetime_basics.java:1055,bytearrayoutputstreamflushbeforeretrieve,falsealarm,0,1,1,both_projects_different_multiset,1
jodatime,org/joda/time/testpartial_basics.java:784,bytearrayoutputstreamflushbeforeretrieve,truebug,1,0,1,both_projects_different_multiset,1
jodatime,org/joda/time/testtimeofday_basics.java:857,bytearrayoutputstreamflushbeforeretrieve,falsealarm,0,1,1,both_projects_different_multiset,1
jodatime,org/joda/time/testdatetimefieldtype.java:290,bytestaticfactory,falsealarm,1,0,1,both_projects_different_multiset,1
jodatime,org/joda/time/testdatetimezone.java:1029,bytearrayoutputstreamflushbeforeretrieve,falsealarm,0,1,1,both_projects_different_multiset,1
jodatime,org/joda/time/testperiodtype.java:129,bytearrayoutputstreamflushbeforeretrieve,falsealarm,0,1,1,both_projects_different_multiset,1
jodatime,org/joda/time/testlocaltime_basics.java:770,bytearrayoutputstreamflushbeforeretrieve,falsealarm,0,1,1,both_projects_different_multiset,1
jodatime,org/joda/time/field/testprecisedurationfield.java:252,closeablemeaninglessclose,truebug,1,0,1,both_projects_different_multiset,1
jodatime,org/joda/time/testperiodtype.java:114,bytearrayoutputstreamflushbeforeretrieve,falsealarm,0,1,1,both_projects_different_multiset,1
jodatime,org/joda/time/testdatemidnight_basics.java:426,bytearrayoutputstreamflushbeforeretrieve,falsealarm,0,1,1,both_projects_different_multiset,1
jodatime,org/joda/time/testdurationfieldtype.java:180,bytearrayoutputstreamflushbeforeretrieve,falsealarm,0,1,1,both_projects_different_multiset,1
jodatime,org/joda/time/field/testmillisdurationfield.java:193,closeablemeaninglessclose,truebug,1,0,1,both_projects_different_multiset,1
jodatime,org/joda/time/testmutableinterval_basics.java:456,bytearrayoutputstreamflushbeforeretrieve,falsealarm,0,1,1,both_projects_different_multiset,1
jodatime,org/joda/time/testperiod_basics.java:234,bytearrayoutputstreamflushbeforeretrieve,falsealarm,0,1,1,both_projects_different_multiset,1
